Run_Date,YE_Quarter,Entity,Cancellations,Delays,Other,Total Complaints,Passengers (m),Complaints per million passengers
04/09/2012 14:30,2012Q2,Aer Lingus,30,14,22,66,3.8,17.6
04/09/2012 14:30,2012Q2,Air France,20,9,58,87,1.1,75.9
04/09/2012 14:30,2012Q2,Alitalia,10,4,42,56,0.9,65.6
04/09/2012 14:30,2012Q2,BMI,34,13,43,90,3.3,27.2
04/09/2012 14:30,2012Q2,bmi baby,36,19,41,96,2.1,45.7
04/09/2012 14:30,2012Q2,British Airways plc,203,192,296,691,34.9,19.8
04/09/2012 14:30,2012Q2,EasyJet,138,96,233,467,31.9,14.7
04/09/2012 14:30,2012Q2,Emirates,5,17,102,124,3.5,35
04/09/2012 14:30,2012Q2,Flybe,65,37,104,206,7.1,29
04/09/2012 14:30,2012Q2,Iberia,30,32,42,104,0.7,148.6
04/09/2012 14:30,2012Q2,Jet2,10,78,78,166,4.4,37.6
04/09/2012 14:30,2012Q2,KLM Royal Dutch Airlines,33,24,86,143,3.7,38.3
04/09/2012 14:30,2012Q2,Lufthansa German Airlines,36,6,60,102,3.5,29.3
04/09/2012 14:30,2012Q2,Monarch Airlines Limited,10,102,33,145,5.8,25.1
04/09/2012 14:30,2012Q2,Ryanair,121,161,363,645,26.8,24.1
04/09/2012 14:30,2012Q2,Thomas Cook Airlines,5,84,77,166,7.5,22.2
04/09/2012 14:30,2012Q2,Thomson Airways,9,109,54,172,10.6,16.3
04/09/2012 14:30,2012Q2,United Airlines,41,8,25,74,1.6,45.6
04/09/2012 14:30,2012Q2,Virgin Atlantic Airways,50,58,111,219,5.5,39.9
04/09/2012 14:30,2012Q2,Wizz Air Hungary Airlines Ltd,62,37,49,148,2.9,51.8
04/09/2012 14:30,2012Q2,Other Airlines,457,270,604,1331,41.5,32.1
04/09/2012 14:30,2012Q2,Total Airline Complaints,1405,1370,2523,5298,203,26.1
04/09/2012 14:30,2012Q2,Other Complaints,5,1,90,96,,
04/09/2012 14:30,2012Q2,Total Complaints,1410,1371,2613,5394,,
